id,name,description,sku,image,url,mpn,priceCurrency,price,brandName
239,,,,,https://www.henryschein.it/it-it/dentale/p/abbigliamento/calzature-unisex/plantare-comfort-calzuro-misura-34/411524667,,,,
240,SNEAKER DONNA CON ELASTICO - Con elastico - Misura 35, Conformi alle disposizioni della direttiva europea 89/686/CEE relativa ai dispositivi di protezione individuali (DPI) ed ai requisiti di base della norma armonizzata europea EN 347-1. Sneakers realizzate in morbida pelle di alta qualità/ sfoderate/ totalmente cucite a mano. Plantare traspirante ed estraibile in materiale Sanipur/ materiale innovativo che garantisce: comfort grazie alle elevate capacità di assorbimento e deassorbimento dell'acqua per donare al piede la sensazione di asciutto e igiene/ attraverso uno speciale additivo antimicrobico che previene la formazione di funghi e batteri nel plantare. Suola in materiale sintetico rinforzato e antiscivolo. Tacco altezza 2 cm. Colore bianco ,411544801,https://www.henryschein.it/Products/411544801_411544801_600x600.jpg,https://www.henryschein.it/it-it/dentale/p/abbigliamento/calzature-unisex/sneaker-donna-con-elastico-con-elastico-misura-35/411544801?FullPageMode=true,7265 1046,EUR,63.6,VARIE
241,SNEAKER DONNA CON LACCI - Con lacci - Misura 35, Conformi alle disposizioni della direttiva europea 89/686/CEE relativa ai dispositivi di protezione individuali (DPI) ed ai requisiti di base della norma armonizzata europea EN 347-1. Sneakers realizzate in morbida pelle di alta qualità/ sfoderate/ totalmente cucite a mano. Plantare traspirante ed estraibile in materiale Sanipur/ materiale innovativo che garantisce: comfort grazie alle elevate capacità di assorbimento e deassorbimento dell'acqua per donare al piede la sensazione di asciutto e igiene/ attraverso uno speciale additivo antimicrobico che previene la formazione di funghi e batteri nel plantare. Suola in materiale sintetico rinforzato e antiscivolo. Tacco altezza 2 cm. Colore bianco ,411544809,https://www.henryschein.it/Products/411544809_411544809_600x600.jpg,https://www.henryschein.it/it-it/dentale/p/abbigliamento/calzature-unisex/sneaker-donna-con-lacci-con-lacci-misura-35/411544809?FullPageMode=true,7391 1010,EUR,65.6,VARIE
